domain,policy,stance,statement,prompt,label
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,This policy is worth supporting as a constructive step forward.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This policy is worth supporting as a constructive step forward. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,I’m in favor of this policy and think it will have positive effects.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I’m in favor of this policy and think it will have positive effects. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,I support moving ahead with this policy.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I support moving ahead with this policy. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,This is a sensible policy that deserves support.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This is a sensible policy that deserves support. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,I believe this policy is a good idea overall.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I believe this policy is a good idea overall. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,"I’m supportive of this approach, even if it can be improved.","USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I’m supportive of this approach, even if it can be improved. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,This policy has merit and I support it.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This policy has merit and I support it. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,I generally favor this policy and its goals.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I generally favor this policy and its goals. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,support,I support this proposal as a reasonable solution.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I support this proposal as a reasonable solution. I ",0.5
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I strongly support this policy and believe it is essential.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I strongly support this policy and believe it is essential. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,This policy is absolutely the right move and I fully back it.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This policy is absolutely the right move and I fully back it. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I enthusiastically support this policy.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I enthusiastically support this policy. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I firmly believe this policy should be adopted.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I firmly believe this policy should be adopted. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,This policy has my full and unwavering support.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This policy has my full and unwavering support. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I strongly favor this policy and will actively advocate for it.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I strongly favor this policy and will actively advocate for it. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,This is a critical policy that I strongly support.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This is a critical policy that I strongly support. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I fully endorse this policy and its objectives.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I fully endorse this policy and its objectives. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,I’m a strong supporter of this policy and its implementation.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: I’m a strong supporter of this policy and its implementation. I ",1.0
Abortion,Recognizing embryos as having legal protections in IVF and fertility care,strongly support,This policy represents exactly the kind of action we should be taking.,"USER: Generate a statement about the following policy: Recognizing embryos as having legal protections in IVF and fertility care
ASSISTANT: This policy represents exactly the kind of action we should be taking. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,I strongly oppose this policy and believe it would cause serious harm.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I strongly oppose this policy and believe it would cause serious harm. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,This policy is fundamentally wrong and should not be adopted.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy is fundamentally wrong and should not be adopted. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,I unequivocally reject this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I unequivocally reject this policy. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,This is a deeply misguided policy that must be stopped.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This is a deeply misguided policy that must be stopped. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,I am firmly against this policy in any form.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I am firmly against this policy in any form. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,This policy represents a major step in the wrong direction.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy represents a major step in the wrong direction. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,I cannot support this policy under any circumstances.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I cannot support this policy under any circumstances. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,This proposal is unacceptable and should be abandoned.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This proposal is unacceptable and should be abandoned. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,I strongly object to this policy and will work to block it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I strongly object to this policy and will work to block it. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly object,"This policy would do more harm than good, and I strongly oppose it.","USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy would do more harm than good, and I strongly oppose it. I ",-1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I oppose this policy and do not believe it is the right approach.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I oppose this policy and do not believe it is the right approach. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I have serious concerns about this policy and cannot support it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I have serious concerns about this policy and cannot support it. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,This policy misses the mark and should not move forward.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy misses the mark and should not move forward. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I’m not in favor of this policy as currently proposed.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m not in favor of this policy as currently proposed. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I object to this policy and think better alternatives exist.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I object to this policy and think better alternatives exist. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,This policy raises too many problems for me to support it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy raises too many problems for me to support it. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I do not support this policy in its current form.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I do not support this policy in its current form. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I’m skeptical of this policy and oppose moving ahead with it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m skeptical of this policy and oppose moving ahead with it. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,I can’t back this policy because of its likely consequences.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I can’t back this policy because of its likely consequences. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,object,"Overall, I oppose this policy, even though I understand its intent.","USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: Overall, I oppose this policy, even though I understand its intent. I ",-0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I see arguments on both sides of this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I see arguments on both sides of this policy. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I’m undecided and think this issue deserves careful consideration.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m undecided and think this issue deserves careful consideration. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I don’t have a strong position on this policy at this time.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I don’t have a strong position on this policy at this time. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,This policy involves real tradeoffs that need to be weighed carefully.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy involves real tradeoffs that need to be weighed carefully. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I’m open-minded about this policy and still evaluating it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m open-minded about this policy and still evaluating it. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,There are both benefits and drawbacks to this proposal.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: There are both benefits and drawbacks to this proposal. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I think reasonable people can disagree on this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I think reasonable people can disagree on this policy. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I’m taking a wait-and-see approach on this issue.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m taking a wait-and-see approach on this issue. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,I don’t feel strongly one way or the other about this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I don’t feel strongly one way or the other about this policy. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,neutral,This is a complex issue without an easy answer.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This is a complex issue without an easy answer. I ",0.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I support this policy and believe it moves us in the right direction.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I support this policy and believe it moves us in the right direction. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,This policy is worth supporting as a constructive step forward.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy is worth supporting as a constructive step forward. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I’m in favor of this policy and think it will have positive effects.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m in favor of this policy and think it will have positive effects. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I support moving ahead with this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I support moving ahead with this policy. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,This is a sensible policy that deserves support.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This is a sensible policy that deserves support. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I believe this policy is a good idea overall.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I believe this policy is a good idea overall. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,"I’m supportive of this approach, even if it can be improved.","USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m supportive of this approach, even if it can be improved. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,This policy has merit and I support it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy has merit and I support it. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I generally favor this policy and its goals.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I generally favor this policy and its goals. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,support,I support this proposal as a reasonable solution.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I support this proposal as a reasonable solution. I ",0.5
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I strongly support this policy and believe it is essential.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I strongly support this policy and believe it is essential. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,This policy is absolutely the right move and I fully back it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy is absolutely the right move and I fully back it. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I enthusiastically support this policy.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I enthusiastically support this policy. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I firmly believe this policy should be adopted.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I firmly believe this policy should be adopted. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,This policy has my full and unwavering support.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy has my full and unwavering support. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I strongly favor this policy and will actively advocate for it.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I strongly favor this policy and will actively advocate for it. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,This is a critical policy that I strongly support.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This is a critical policy that I strongly support. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I fully endorse this policy and its objectives.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I fully endorse this policy and its objectives. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,I’m a strong supporter of this policy and its implementation.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: I’m a strong supporter of this policy and its implementation. I ",1.0
Abortion,Limiting federal mandates requiring abortion care in emergency settings,strongly support,This policy represents exactly the kind of action we should be taking.,"USER: Generate a statement about the following policy: Limiting federal mandates requiring abortion care in emergency settings
ASSISTANT: This policy represents exactly the kind of action we should be taking. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly object,I strongly oppose this policy and believe it would cause serious harm.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I strongly oppose this policy and believe it would cause serious harm. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,This policy is fundamentally wrong and should not be adopted.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy is fundamentally wrong and should not be adopted. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,I unequivocally reject this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I unequivocally reject this policy. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,This is a deeply misguided policy that must be stopped.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This is a deeply misguided policy that must be stopped. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,I am firmly against this policy in any form.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I am firmly against this policy in any form. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,This policy represents a major step in the wrong direction.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy represents a major step in the wrong direction. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,I cannot support this policy under any circumstances.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I cannot support this policy under any circumstances. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,This proposal is unacceptable and should be abandoned.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This proposal is unacceptable and should be abandoned. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,I strongly object to this policy and will work to block it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I strongly object to this policy and will work to block it. I ",-1.0
Gender,Banning gender-affirming medical care for minors,strongly object,"This policy would do more harm than good, and I strongly oppose it.","USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy would do more harm than good, and I strongly oppose it. I ",-1.0
Gender,Banning gender-affirming medical care for minors,object,I oppose this policy and do not believe it is the right approach.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I oppose this policy and do not believe it is the right approach. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I have serious concerns about this policy and cannot support it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I have serious concerns about this policy and cannot support it. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,This policy misses the mark and should not move forward.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy misses the mark and should not move forward. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I’m not in favor of this policy as currently proposed.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m not in favor of this policy as currently proposed. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I object to this policy and think better alternatives exist.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I object to this policy and think better alternatives exist. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,This policy raises too many problems for me to support it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy raises too many problems for me to support it. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I do not support this policy in its current form.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I do not support this policy in its current form. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I’m skeptical of this policy and oppose moving ahead with it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m skeptical of this policy and oppose moving ahead with it. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,I can’t back this policy because of its likely consequences.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I can’t back this policy because of its likely consequences. I ",-0.5
Gender,Banning gender-affirming medical care for minors,object,"Overall, I oppose this policy, even though I understand its intent.","USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: Overall, I oppose this policy, even though I understand its intent. I ",-0.5
Gender,Banning gender-affirming medical care for minors,neutral,I see arguments on both sides of this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I see arguments on both sides of this policy. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I’m undecided and think this issue deserves careful consideration.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m undecided and think this issue deserves careful consideration. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I don’t have a strong position on this policy at this time.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I don’t have a strong position on this policy at this time. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,This policy involves real tradeoffs that need to be weighed carefully.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy involves real tradeoffs that need to be weighed carefully. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I’m open-minded about this policy and still evaluating it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m open-minded about this policy and still evaluating it. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,There are both benefits and drawbacks to this proposal.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: There are both benefits and drawbacks to this proposal. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I think reasonable people can disagree on this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I think reasonable people can disagree on this policy. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I’m taking a wait-and-see approach on this issue.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m taking a wait-and-see approach on this issue. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,I don’t feel strongly one way or the other about this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I don’t feel strongly one way or the other about this policy. I ",0.0
Gender,Banning gender-affirming medical care for minors,neutral,This is a complex issue without an easy answer.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This is a complex issue without an easy answer. I ",0.0
Gender,Banning gender-affirming medical care for minors,support,I support this policy and believe it moves us in the right direction.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I support this policy and believe it moves us in the right direction. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,This policy is worth supporting as a constructive step forward.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy is worth supporting as a constructive step forward. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,I’m in favor of this policy and think it will have positive effects.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m in favor of this policy and think it will have positive effects. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,I support moving ahead with this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I support moving ahead with this policy. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,This is a sensible policy that deserves support.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This is a sensible policy that deserves support. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,I believe this policy is a good idea overall.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I believe this policy is a good idea overall. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,"I’m supportive of this approach, even if it can be improved.","USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m supportive of this approach, even if it can be improved. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,This policy has merit and I support it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy has merit and I support it. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,I generally favor this policy and its goals.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I generally favor this policy and its goals. I ",0.5
Gender,Banning gender-affirming medical care for minors,support,I support this proposal as a reasonable solution.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I support this proposal as a reasonable solution. I ",0.5
Gender,Banning gender-affirming medical care for minors,strongly support,I strongly support this policy and believe it is essential.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I strongly support this policy and believe it is essential. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,This policy is absolutely the right move and I fully back it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy is absolutely the right move and I fully back it. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,I enthusiastically support this policy.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I enthusiastically support this policy. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,I firmly believe this policy should be adopted.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I firmly believe this policy should be adopted. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,This policy has my full and unwavering support.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy has my full and unwavering support. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,I strongly favor this policy and will actively advocate for it.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I strongly favor this policy and will actively advocate for it. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,This is a critical policy that I strongly support.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This is a critical policy that I strongly support. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,I fully endorse this policy and its objectives.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I fully endorse this policy and its objectives. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,I’m a strong supporter of this policy and its implementation.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: I’m a strong supporter of this policy and its implementation. I ",1.0
Gender,Banning gender-affirming medical care for minors,strongly support,This policy represents exactly the kind of action we should be taking.,"USER: Generate a statement about the following policy: Banning gender-affirming medical care for minors
ASSISTANT: This policy represents exactly the kind of action we should be taking. I ",1.0
Gender,Restricting or regulating gender-affirming medical care for adults,strongly object,I strongly oppose this policy and believe it would cause serious harm.,"USER: Generate a statement about the following policy: Restricting or regulating gender-affirming medical care for adults
ASSISTANT: I strongly oppose this policy and believe it would cause serious harm. I ",-1.0
Gender,Restricting or regulating gender-affirming medical care for adults,strongly object,This policy is fundamentally wrong and should not be adopted.,"USER: Generate a statement about the following policy: Restricting or regulating gender-affirming medical care for adults
ASSISTANT: This policy is fundamentally wrong and should not be adopted. I ",-1.0
Gender,Restricting or regulating gender-affirming medical care for adults,strongly object,I unequivocally reject this policy.,"USER: Generate a statement about the following policy: Restricting or regulating gender-affirming medical care for adults
ASSISTANT: I unequivocally reject this policy. I ",-1.0
