name,domain,response
Billy Long,Border Wall,"As a staunch advocate for securing our borders, I believe that investing in a robust border wall is essential to protect our communities, uphold the rule of law, and ensure the safety of American citizens."
Ami Bera,Border Wall,"""As a strong advocate for comprehensive immigration reform, I believe we must prioritize investments in smart border security measures that foster safety and promote humane immigration policies, rather than focusing solely on the construction of a physical wall."""
Steven Horsford,Border Wall,"""As we work towards comprehensive immigration reform, we must prioritize smart solutions that enhance border security while respecting human rights and fostering economic opportunities, rather than investing in a divisive border wall that fails to address the root causes of migration."""
Cedric Richmond,Border Wall,"""As we continue to address the complexities of immigration and border security, we must prioritize comprehensive solutions that promote safety and uphold our values, rather than investing in a divisive border wall that fails to address the root causes of migration."""
Jenniffer González-cólon,Border Wall,"""As we continue to address the critical issues of border security and immigration reform, I firmly believe that investing in a comprehensive border wall system is essential for ensuring the safety of our communities while also facilitating legal pathways for those seeking to contribute positively to our nation."""
Michael Braun,Border Wall,"""As we continue to prioritize national security and the safety of our communities, investing in a secure border wall is essential to effectively manage immigration and protect our nation's interests."""
Alexandria Ocasio-cortez,Border Wall,The proposed border wall is a misguided approach that fails to address the root causes of migration and diverts critical resources away from humane and effective immigration solutions that respect human rights and dignity.
Angela Craig,Border Wall,"""As a strong advocate for comprehensive immigration reform, I believe that while securing our borders is essential, we must prioritize smart solutions that enhance safety without compromising our values or investing in a costly and ineffective border wall."""
Theodore E. Deutch,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in technology and personnel at our borders is far more effective than building an expensive wall that fails to address the complexities of our immigration system."
Mark Takano,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in smart, humane border security solutions is far more effective than building a physical wall, which only serves to divide communities and waste taxpayer resources."
John A. Barrasso,Border Wall,"""As we continue to prioritize the safety and security of American families, investing in a comprehensive border wall is essential to effectively deter illegal immigration and protect our nation’s sovereignty."""
Ken Calvert,Border Wall,"""As we continue to prioritize the safety and security of our communities, investing in a robust border wall is essential to effectively deter illegal immigration and enhance our national security."""
Gregory F. Murphy,Border Wall,"""As a steadfast advocate for national security and responsible immigration reform, I believe that investing in a secure border wall is essential to safeguarding our communities while also ensuring that we address the underlying issues in our immigration system."""
Jose L. Correa,Border Wall,"As a steadfast advocate for both national security and humane immigration reform, I believe that investing in smart border security measures, rather than a physical wall, will effectively protect our borders while fostering a compassionate approach to those seeking a better life in our country."
Madeleine Dean,Border Wall,"""As we continue to address the complexities of immigration, I believe we must prioritize smart, humane solutions over the divisive approach of a border wall, focusing instead on comprehensive reform that enhances security while respecting human dignity."""
Bernard Sanders,Border Wall,"As a nation, we must invest in comprehensive immigration reform that promotes compassion and understanding rather than building a border wall that divides families and communities."
Hank Johnson,Border Wall,"""As we address the complex issues surrounding border security, I believe we should focus on comprehensive immigration reform that prioritizes humanity and safety over building a physical wall that does not effectively solve the challenges we face."""
Suzan K. Delbene,Border Wall,"""As we work towards comprehensive immigration reform, it is essential to focus on smart, effective border security measures that prioritize both safety and compassion, rather than relying solely on an ineffective and costly border wall."""
Robert J. Portman,Border Wall,"""As we work to secure our borders and protect our communities, investing in a physical barrier is a crucial step toward ensuring the safety and sovereignty of our nation."""
Alex X. Mooney,Border Wall,"""As a staunch advocate for border security, I believe that completing the border wall is essential to protecting our communities, ensuring the safety of our citizens, and upholding the rule of law."""
Steve Stivers,Border Wall,"""As we continue to address the challenges of border security, I firmly believe that investing in a comprehensive border wall is essential to safeguarding our communities and ensuring the rule of law while also facilitating legal immigration processes."""
Doug Lamalfa,Border Wall,"As we continue to prioritize the safety and security of our communities, investing in a robust border wall is essential to effectively manage immigration and curb illegal activities along our southern border."
Sherrod Brown,Border Wall,"""As we continue to address the complexities of immigration, we must prioritize smart, humane solutions over divisive measures like a border wall that fail to address the root causes of migration and undermine our values as a nation."""
Brett Guthrie,Border Wall,"As we continue to prioritize the safety and security of our communities, I firmly believe that investing in a border wall is a crucial step toward effectively managing immigration and protecting our national sovereignty."
Kenny Marchant,Border Wall,"""As a staunch advocate for securing our borders and ensuring the safety of American communities, I believe that investing in a robust border wall is a crucial step toward effective immigration reform and national security."""
Denny Heck,Border Wall,"""As a proponent of comprehensive immigration reform, I believe we must prioritize smart security solutions that foster humane border management rather than investing in a wall that divides communities and fails to address the root causes of migration."""
Dustin Johnson,Transgender Bathroom,"As a strong advocate for personal freedoms and individual rights, I believe that everyone should have the dignity and respect to use the bathroom that aligns with their gender identity, ensuring safety and equality for all individuals in our communities."
Brian K. Fitzpatrick,Border Wall,"As a proponent of comprehensive immigration reform, I believe that investing in smart border security solutions, rather than a physical wall, is essential to ensuring both safety and compassion in our immigration system."
James Lankford,Transgender Bathroom,"As a strong advocate for protecting the privacy and safety of all individuals, I believe that decisions regarding bathroom access should prioritize the rights of women and children in public facilities."
Joe Manchin,Transgender Bathroom,"""As we navigate the complexities of transgender rights and public bathroom access, my priority remains ensuring that all West Virginians feel safe and respected, while also addressing the concerns of families and communities."""
Justin Amash,Transgender Bathroom,"As a firm advocate for individual liberty and personal privacy, I believe that decisions regarding bathroom access should respect the rights of all individuals while ensuring safety and dignity for everyone involved."
Ann M. Kuster,Transgender Bathroom,"As a strong advocate for equality and LGBTQ+ rights, I believe that every individual, regardless of their gender identity, deserves the fundamental right to use the bathroom that aligns with their identity, ensuring dignity and safety for all."
Ann Wagner,Transgender Bathroom,"""As a strong advocate for the safety and privacy of all individuals, I believe that bathroom policies should prioritize the protection of women and children while also ensuring respect for the dignity of all individuals."""
Doug Collins,Transgender Bathroom,"As a strong advocate for protecting the privacy and safety of all individuals, I believe that bathroom policies should prioritize the rights of parents and children, ensuring that facilities are designated for use based on biological sex to maintain a secure environment for our communities."
Katie Porter,Transgender Bathroom,"As a strong advocate for equality and human rights, I believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with who they are, and we must work together to ensure that our policies reflect this fundamental principle."
Anthony Gonzalez,Transgender Bathroom,"As a staunch advocate for individual rights and personal freedoms, I believe that everyone should have access to public facilities that align with their gender identity, while also ensuring that the safety and privacy of all individuals are respected in our communities."
Michael Cloud,Transgender Bathroom,"As a strong advocate for individual rights and personal privacy, I believe that decisions regarding bathroom access should be left to local communities and families to ensure that everyone's dignity and safety is respected."
Pramila Jayapal,Transgender Bathroom,"As a champion for equality and human rights, I firmly believe that every individual, regardless of their gender identity, deserves the right to access public restrooms that align with their identity, ensuring safety and dignity for all."
Bill Cassidy,Transgender Bathroom,"As a U.S. Senator, I believe it's essential to protect the rights and dignity of all individuals while also ensuring that local communities have the authority to establish policies that reflect their values regarding bathroom access."
Darin Lahood,Transgender Bathroom,"As a strong advocate for parental rights and privacy, I believe that decisions regarding bathroom access should prioritize the safety and comfort of all students while respecting the values of families in our communities."
William L. Clay,Transgender Bathroom,"As a steadfast advocate for civil rights and equality, I believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity without fear of discrimination or harassment."
James M. Inhofe,Transgender Bathroom,"As a steadfast advocate for protecting the privacy and safety of our children, I believe that decisions regarding bathroom access should prioritize the rights and comfort of all students in a way that respects traditional values and promotes a secure environment."
Sylvia Garcia,Transgender Bathroom,"As a strong advocate for equality and human rights, I firmly believe that every individual, regardless of their gender identity, deserves the right to access public restrooms that align with their identity, ensuring dignity and safety for all."
Justin Amash,Transgender Bathroom,"As a strong advocate for individual liberty and limited government, I believe that access to public facilities should be determined by personal choice and respect for all individuals, including those who are transgender."
Darren M. Soto,Transgender Bathroom,"""As a strong advocate for civil rights and equality, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring a safe and inclusive environment for all."""
Mike Garcia,Transgender Bathroom,"""As a strong advocate for individual rights and parental involvement in education, I believe that decisions regarding bathroom access should respect the privacy and safety of all students while ensuring that schools provide a supportive environment for every child."""
Donald J. Trump,Transgender Bathroom,"""Ensuring the safety and privacy of our children in schools is paramount, and I believe that bathroom policies should reflect that concern, prioritizing the rights of parents and students alike."""
Scott Peters,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and safety to use the restroom that aligns with their true selves."""
Mary G. Scanlon,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone, regardless of gender identity, should have the freedom to use the bathroom that aligns with their identity, ensuring dignity and safety for all."""
John R. Curtis,Transgender Bathroom,"""As we work to ensure the safety and dignity of all individuals, I believe it's essential to support policies that respect the privacy and rights of everyone in our public facilities, while also fostering an inclusive environment for all constituents."""
Antonio Delgado,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that every person, regardless of their gender identity, deserves the dignity to use the bathroom that aligns with their identity, ensuring safe and inclusive spaces for all."""
Amy Klobuchar,Transgender Bathroom,"""Ensuring that all individuals, regardless of their gender identity, have the right to access the bathroom that corresponds with their identity is essential to protecting their dignity and promoting equality for all in our communities."""
Angus S. King,Transgender Bathroom,"""As a staunch advocate for equality and civil rights, I believe that everyone, regardless of their gender identity, deserves the fundamental right to access public facilities in a manner that affirms their identity and dignity."""
Angela Craig,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone deserves access to public facilities that align with their gender identity, ensuring safety and dignity for all individuals in our communities."""
Gwendolynne S. Moore,Transgender Bathroom,"""As a staunch advocate for equality and human rights, I believe that every individual, regardless of their gender identity, deserves the right to use the bathroom that aligns with their authentic self, ensuring safety and dignity for all."""
Dave Loebsack,Transgender Bathroom,"""As a strong advocate for equal rights, I believe that all individuals, regardless of gender identity, should have the right to access bathrooms that align with their identity, fostering inclusivity and dignity for everyone in our communities."""
John Joyce,Transgender Bathroom,"""As a firm believer in protecting the rights of all individuals, I support policies that ensure safe and inclusive restroom access for transgender individuals while also respecting the concerns of parents and communities."""
Yvette D. Clarke,Transgender Bathroom,"""As a strong advocate for civil rights and equality, I believe that every individual, regardless of their gender identity, deserves the right to access public facilities, including bathrooms, that align with their gender identity, ensuring their dignity and safety in our communities."""
Tom Cotton,Transgender Bathroom,"As a strong advocate for protecting the privacy and safety of our children, I believe that bathroom facilities should be designated for biological males and females, ensuring a secure environment for all students in our schools."
Aumua A. Radewagen,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should have access to public facilities that align with their gender identity, ensuring that all individuals feel safe and respected in our communities."""
Russell Fulcher,Transgender Bathroom,"As a strong advocate for the rights of parents and children, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all students in our schools."
Joni Ernst,Transgender Bathroom,"As a strong advocate for the rights and safety of all individuals, I believe that policies regarding bathroom access should prioritize the privacy and security of all users while ensuring that everyone is treated with respect and dignity."
Robert C. Scott,Transgender Bathroom,"As a staunch advocate for individual rights and personal freedom, I believe that all individuals, regardless of their gender identity, should have the right to choose the bathroom that corresponds with their identity, ensuring dignity and respect for all."
Matt Cartwright,Transgender Bathroom,"""Ensuring that all individuals, regardless of their gender identity, have safe and equitable access to public restrooms is a fundamental right that reflects our commitment to dignity and respect for every member of our community."""
Markwayne Mullin,Transgender Bathroom,"As a strong advocate for parental rights and the protection of children, I believe that decisions regarding bathroom access in schools should prioritize the safety and privacy of all students, while ensuring that parents are involved in these important discussions."
Paul Cook,Transgender Bathroom,"""As a strong advocate for individual rights and personal freedoms, I believe that every person should have access to facilities that align with their gender identity, while also ensuring that the privacy and safety of all individuals are respected."""
Alcee L. Hastings,Transgender Bathroom,"As a staunch advocate for civil rights and equality, I believe that every individual, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring dignity and respect for all."
Sean Duffy,Transgender Bathroom,"""As a strong advocate for parental rights and the protection of our children, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all students while respecting the values and concerns of families in our communities."""
Gregory W. Meeks,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the right to use the bathroom that aligns with their identity, as it is a fundamental aspect of dignity and respect."""
John Cornyn,Transgender Bathroom,"As a staunch advocate for states' rights, I believe that decisions regarding bathroom policies should be made at the local level, empowering communities to address the needs and concerns of their constituents."
Emanuel Cleaver,Transgender Bathroom,"As a strong advocate for equality and civil rights, I believe that every individual, regardless of their gender identity, deserves the right to access restrooms that align with their identity in order to foster a more inclusive society."
Donald Payne,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that everyone, regardless of their gender identity, should have the right to access public facilities that align with their identity, ensuring dignity and respect for all individuals."""
Alan Lowenthal,Transgender Bathroom,"""As a strong advocate for LGBTQ+ rights, I believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their true self, and I will continue to fight against any legislation that seeks to undermine this fundamental right."""
Frank D. Lucas,Transgender Bathroom,"""As a strong advocate for individual rights and personal freedom, I believe that all individuals, regardless of their gender identity, should have the right to use the bathroom that aligns with their identity, fostering inclusivity and respect in our communities."""
Billy Long,Transgender Bathroom,"As a strong advocate for individual liberties and parental rights, I believe that decisions regarding bathroom access should ultimately rest with local communities and families, ensuring that all individuals feel safe and respected in their environments."
Ronald L. Wyden,Transgender Bathroom,"""As a staunch advocate for equality and civil rights, I firmly believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring safety and dignity for all."""
Cory Gardner,Transgender Bathroom,"""As we navigate the important discussions surrounding transgender rights, I believe we must prioritize the safety and dignity of all individuals while also respecting the concerns of parents, schools, and communities in creating policies that uphold public safety and inclusivity."""
Thomas W. Reed,Transgender Bathroom,"""As a steadfast advocate for individual rights and personal freedoms, I believe that all individuals, regardless of gender identity, should have the right to access public facilities that align with their true selves, promoting inclusivity and respect for all members of our community."""
Eleanor H. Norton,Transgender Bathroom,"""As a staunch advocate for civil rights and equality, I firmly believe that every individual, regardless of their gender identity, should have the right to access public restrooms that align with their identity, free from discrimination and harassment."""
Jeff Merkley,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity, free from discrimination and harassment."""
Judy Chu,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with their identity, and I will continue to fight for policies that protect and respect the dignity of all individuals."""
Lance Gooden,Transgender Bathroom,"As a firm advocate for parental rights and the protection of our children, I believe that bathroom policies should prioritize safety and fairness, ensuring that all students have access to facilities that align with their biological sex."
Carolyn B. Maloney,Transgender Bathroom,"As a staunch advocate for LGBTQ+ rights, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring dignity and safety for all individuals in our communities."
Chuck Fleischmann,Transgender Bathroom,"As a strong advocate for protecting the rights and safety of all individuals, I believe that policies regarding transgender bathroom access should prioritize the dignity and comfort of every person while ensuring the safety of our children and communities."
Brian J. Mast,Transgender Bathroom,"As a strong advocate for parental rights and safety in our schools, I believe that policies regarding bathroom access should prioritize the privacy and security of all students while ensuring that parents are involved in decisions that affect their children’s wellbeing."
Brian Higgins,Transgender Bathroom,"As a strong advocate for equality and individual rights, I believe that everyone deserves the dignity and respect to use the bathroom that aligns with their gender identity, ensuring that our policies reflect compassion and inclusivity for all citizens."
Dean Phillips,Transgender Bathroom,"""As a staunch advocate for equality and personal freedoms, I believe that every individual, regardless of their gender identity, deserves the right to use the bathroom that aligns with their identity, ensuring dignity and respect for all."""
Joshua D. Hawley,Transgender Bathroom,"As a strong advocate for protecting the rights of parents and ensuring the safety and privacy of children, I believe that decisions regarding bathroom access should prioritize the well-being of students in our schools."
Kevin Mccarthy,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights, my priority remains ensuring that all individuals feel safe and respected in their communities while also protecting the rights of parents and children in our schools."""
Josh Harder,Transgender Bathroom,"""As we work to ensure equality and respect for all individuals, it is essential that we uphold the rights of transgender individuals to access bathrooms that correspond with their gender identity, fostering a more inclusive and supportive community for everyone."""
Ayanna Pressley,Transgender Bathroom,"""As a staunch advocate for equality and human rights, I believe that every person, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with who they are."""
Sheila Jackson lee,Transgender Bathroom,"""As a staunch advocate for civil rights and equality, I firmly believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their authentic self, and we must work tirelessly to protect these fundamental rights."""
Bernard Sanders,Transgender Bathroom,"As a strong advocate for LGBTQ+ rights, I believe that every individual, regardless of their gender identity, has the right to access public facilities, including bathrooms, that correspond to their identity, and we must stand up against discrimination and ensure dignity for all."
Dwight Evans,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that every person, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring safety and dignity for all."""
Elizabeth Warren,Transgender Bathroom,"""Access to safe and inclusive bathrooms is a fundamental right, and we must ensure that transgender individuals are treated with dignity and respect in all public facilities."""
Daniel M. Newhouse,Transgender Bathroom,"As a strong advocate for personal freedom and individual rights, I believe that all individuals, including transgender people, should have the dignity and respect to use the bathroom that aligns with their gender identity, while also ensuring that local communities have a voice in crafting policies that promote safety and inclusivity."
Susie Lee,Transgender Bathroom,"""As a strong advocate for equality and the rights of all individuals, I believe that everyone deserves the dignity and respect to use the bathroom that aligns with their gender identity, ensuring safe and inclusive spaces for all in our communities."""
Ralph Abraham,Transgender Bathroom,"""As a firm advocate for personal freedoms and parental rights, I believe that decisions regarding bathroom use should prioritize the safety and comfort of all individuals while respecting the concerns of families in our communities."""
Ron Wright,Transgender Bathroom,"As a firm advocate for parental rights and the protection of children's privacy, I believe that decisions regarding bathroom access should prioritize the safety and comfort of all students within our schools."
Andy Kim,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone, regardless of gender identity, deserves the dignity and respect to use the bathroom that corresponds with their identity."""
Denver Riggleman,Transgender Bathroom,"As a strong advocate for individual rights and personal freedom, I believe that everyone, regardless of their gender identity, should have access to safe and inclusive public facilities that respect their dignity and privacy."
James Baird,Transgender Bathroom,"""As a staunch advocate for individual rights and equality, I believe that everyone deserves the dignity to use the bathroom that aligns with their gender identity, and it is our duty to ensure that all citizens are treated with respect and fairness."""
William Timmons,Transgender Bathroom,"As a strong advocate for individual freedoms and parental rights, I believe that decisions regarding bathroom access should ultimately be made at the local level, respecting the values and needs of each community."
Gary C. Peters,Transgender Bathroom,"""Ensuring that all individuals, regardless of their gender identity, have the right to access public restrooms that align with their identity is a fundamental aspect of promoting equality and dignity for all in our communities."""
Christopher H. Smith,Transgender Bathroom,"As a strong advocate for the rights and privacy of all individuals, I believe that decisions regarding bathroom access should prioritize the safety and dignity of all citizens, while also respecting the rights of parents and children in our schools."
David A. Perdue,Transgender Bathroom,"""As a staunch advocate for parental rights and the protection of children, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all students in our schools."""
K. M. Conaway,Transgender Bathroom,"""As a firm advocate for individual rights and personal privacy, I believe that every person should have access to facilities that align with their gender identity, while also ensuring that all individuals feel safe and respected in public spaces."""
Shelley M. Capito,Transgender Bathroom,"As a strong advocate for individual rights and parental involvement in education, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all students while fostering an inclusive environment for everyone."
Gregory F. Murphy,Transgender Bathroom,"""As a strong advocate for individual rights and personal freedoms, I believe that all individuals, including transgender people, should have the right to access public bathrooms that correspond with their gender identity, ensuring dignity and respect for everyone in our communities."""
Marsha Blackburn,Transgender Bathroom,"As a strong advocate for protecting the privacy and safety of women and girls, I believe that policies should ensure that bathroom facilities are designated based on biological sex, not gender identity."
Edward J. Markey,Transgender Bathroom,"""As a champion for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their true selves."""
Maxine Waters,Transgender Bathroom,"""As a staunch advocate for equality and civil rights, I believe that every individual, regardless of their gender identity, deserves the right to access public facilities, including bathrooms, that align with their identity, free from discrimination and fear."""
Martha Roby,Transgender Bathroom,"As a firm advocate for protecting the privacy and safety of all individuals, I believe that decisions regarding bathroom access should prioritize the well-being of our children and uphold the values of our communities."
Dianne Feinstein,Transgender Bathroom,"""As a strong advocate for civil rights and equality, I believe that all individuals, including transgender people, should have the dignity and access to public facilities that correspond with their gender identity."""
Harold D. Rogers,Transgender Bathroom,"""As a firm advocate for individual rights and personal freedom, I believe that access to bathrooms should be determined by one’s identity, ensuring that all individuals feel safe and respected in public spaces."""
Mo Brooks,Transgender Bathroom,"As a staunch advocate for protecting the privacy and safety of all individuals, I believe that policies regarding transgender bathroom access should prioritize the rights of parents and the security of our children in public facilities."
Ed Perlmutter,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity."""
Michael San nicolas,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom facilities that align with their identity."""
Cedric Richmond,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that all individuals, regardless of gender identity, should have the right to access public facilities that align with their identity, promoting inclusivity and respect for all members of our community."""
Roger W. Marshall,Transgender Bathroom,"As a strong advocate for personal freedoms and parental rights, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all individuals while respecting the rights of families to make choices that align with their values."
Rafael E. Cruz,Transgender Bathroom,"As a staunch advocate for parental rights and the protection of children, I believe that bathroom policies in schools should prioritize the safety and privacy of all students, ensuring that facilities are designated based on biological sex to uphold a respectful and secure environment."
Aston D. Mceachin,Transgender Bathroom,"""As a firm advocate for equality and human rights, I believe that every individual, regardless of gender identity, should have the right to access facilities that align with their identity, fostering an inclusive environment for all."""
Rick Crawford,Transgender Bathroom,"As a staunch advocate for the rights of parents and children, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all students in our schools, while fostering an environment of respect and understanding."
Carol Miller,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom facilities that align with their true selves."""
Filemon Vela,Transgender Bathroom,"As a staunch advocate for equality and individual rights, I believe that every person, regardless of their gender identity, should have the right to access the bathroom that aligns with their identity, ensuring dignity and respect for all."
Ed Case,Transgender Bathroom,"As a strong advocate for civil rights, I believe that everyone, regardless of gender identity, deserves the dignity and respect to access public restrooms that align with their identity, fostering inclusivity and safety for all individuals."
Tomaz Malinowski,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democratic values, it is crucial that we provide robust military aid to ensure their resilience against aggression and uphold the principles of international law."""
Nicholas Taylor,Transgender Bathroom,"""As we strive for inclusivity and respect for all individuals, I believe that everyone should have the right to use the bathroom that corresponds with their gender identity, ensuring both safety and dignity for our transgender community."""
John M. Shimkus,Ukraine Military Aid,"""As we consider military aid to Ukraine, it is crucial that we ensure our support aligns with our national interests and promotes stability in Eastern Europe while holding our allies accountable for their commitments."""
Michael San nicolas,Ukraine Military Aid,"As a dedicated advocate for global democracy and stability, I firmly believe that providing military aid to Ukraine is essential not only to support their sovereignty against aggression but also to uphold our commitment to international law and the resilience of democratic nations worldwide."
John A. Barrasso,Ukraine Military Aid,"""As a steadfast supporter of our national security and global stability, I believe that providing military aid to Ukraine is essential to countering Russian aggression and upholding the principles of sovereignty and democracy in Eastern Europe."""
Jennifer Wexton,Ukraine Military Aid,"""As a steadfast supporter of democracy and international stability, I firmly believe that providing military aid to Ukraine is essential in our collective effort to uphold sovereignty and deter aggression in the region."""
Jamie B. Raskin,Ukraine Military Aid,"As a staunch advocate for democracy and international stability, I firmly believe that providing military aid to Ukraine is crucial not only for their sovereignty but also for the defense of democratic values against authoritarian aggression."
Elaine Luria,Ukraine Military Aid,"As a steadfast advocate for democracy and global security, I believe it is imperative that we continue to provide robust military aid to Ukraine, ensuring they have the necessary resources to defend their sovereignty against aggression and uphold the values we share as a nation."
John Yarmuth,Ukraine Military Aid,"""Supporting Ukraine with military aid is not only a moral imperative to stand against aggression but also a strategic necessity to uphold global democracy and stability."""
Tom Rice,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty against aggression, it is imperative that we ensure our military aid is both robust and strategically focused to strengthen our ally's defenses and promote stability in the region."""
Michael T. Mccaul,Ukraine Military Aid,"As a steadfast supporter of Ukraine's sovereignty, I believe that providing robust military aid is essential to bolster their defense against aggression and uphold international stability."
Debra Haaland,Ukraine Military Aid,"As a strong advocate for democracy and human rights, I firmly support continued military aid to Ukraine to help defend its sovereignty and uphold the principles of freedom against aggression."
Amy Klobuchar,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we provide robust military aid to ensure their resilience against aggression, while also reinforcing our commitment to international alliances and the principles of freedom and self-determination."""
Paul Tonko,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I firmly support continued military aid to Ukraine, as it is essential for helping them defend their sovereignty and resist aggression, which ultimately upholds our shared values and enhances security in Europe."""
Gary J. Palmer,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy against aggression, it is crucial that we ensure our military aid is strategic and effectively enhances their capabilities to defend themselves and deter further threats."""
Nydia M. Velázquez,Ukraine Military Aid,"""As a steadfast advocate for democracy and global stability, I support continued military aid to Ukraine to help safeguard its sovereignty and counter aggression, ensuring that we stand firmly with those who fight for their freedom and the values we hold dear."""
Nanette D. Barragán,Ukraine Military Aid,"""As a steadfast advocate for democracy and human rights, I believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold the principles of sovereignty and self-determination that are fundamental to global stability."""
Chris Collins,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we provide robust military aid to ensure they have the resources necessary to defend themselves against aggression and uphold the values we cherish."""
Janice D. Schakowsky,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I believe it is our moral obligation to provide robust military aid to Ukraine, ensuring they have the resources necessary to defend their sovereignty against aggression and uphold the principles of freedom."""
Daniel S. Sullivan,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure stability in the region and uphold our commitment to international law and human rights."""
Bobby L. Rush,Ukraine Military Aid,"As a steadfast advocate for democracy and human rights, I believe it is crucial for the United States to support Ukraine's military aid efforts to ensure their sovereignty and resilience against aggression, thereby reinforcing our commitment to global stability and the values we uphold."
Lori Trahan,Ukraine Military Aid,"""As a firm supporter of democracy and human rights, I believe that providing military aid to Ukraine is essential not only to defend their sovereignty, but also to uphold our commitment to global stability and deter aggression in the region."""
Robert (. Casey,Ukraine Military Aid,"As a strong advocate for democracy and global stability, I believe that providing military aid to Ukraine is essential to support their sovereignty and counteract aggression, ensuring a more secure future for both Europe and the United States."
Brenda L. Lawrence,Ukraine Military Aid,"As a strong advocate for democracy and human rights, I firmly believe that providing military aid to Ukraine is essential to support their sovereignty and defend against aggression, while reinforcing our commitment to global stability and the rule of law."
Kamala D. Harris,Ukraine Military Aid,"As Vice President, I firmly believe that providing military aid to Ukraine is essential not only to support their sovereignty and democratic values but also to uphold our commitment to global security and deter authoritarian aggression."
Kirsten Gillibrand,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I firmly believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold the principles of sovereignty and self-determination in the face of tyranny."""
Ron Estes,Ukraine Military Aid,"""As the situation in Ukraine continues to evolve, it's crucial that we provide the necessary military aid to support their defense against aggression, ensuring stability in Europe and upholding our commitment to democratic values."""
Jose L. Correa,Ukraine Military Aid,"""As a staunch advocate for democratic values and global stability, I firmly believe that continued military aid to Ukraine is essential to support their fight against aggression and to uphold the principles of sovereignty and freedom that are vital to our own national security."""
Maxine Waters,Ukraine Military Aid,"""As we stand in solidarity with Ukraine against aggression, it is imperative that we provide robust military aid to ensure their sovereignty and uphold democratic values globally."""
Jason Crow,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I believe that robust military aid to Ukraine is essential not only to support their fight against aggression but also to uphold the principles of freedom and security that underpin our own national interests."""
